input,output
"Legislation creating a dedicated federal task force on youth vaping, tobacco, and nicotine prevention, coordinating public education campaigns, enforcing marketing restrictions near schools, restricting flavored products, funding cessation resources, and supporting research into long-term health impacts to reduce adolescent addiction rates.",Bill
"Measures to accelerate the deployment of advanced small modular nuclear reactors at federal sites and in utility partnerships by providing loan guarantees, streamlined licensing, R&D funding, and workforce training to deliver clean, reliable baseload power and support decarbonization goals.",Bill
"Initiative requiring large digital platforms to conduct independent annual audits of their recommendation and moderation algorithms for bias, discrimination, and unintended societal harms, with public disclosure of findings and corrective action plans enforced by federal regulators.",Bill
"Reforms to establish federal matching grants encouraging states to expand paid sick leave coverage to part-time, temporary, and gig workers with accrual rates, job protection, and administrative support to improve worker health and economic security.",Bill
"Package modernizing federal permitting processes for high-voltage transmission lines, renewable energy facilities, and critical infrastructure projects through one-stop coordination, concurrent environmental reviews under NEPA, statutory deadlines, and mandatory community benefit agreements to expedite clean energy deployment.",Bill
"Cabinet order directing all federal land management agencies to meaningfully incorporate Indigenous traditional ecological knowledge into planning, decision-making, and restoration projects, with strengthened tribal consultation protocols and co-stewardship agreements for protected areas and natural resources.",Executive Order
"Presidential directive establishing mandatory sustainability performance targets for all federal buildings and facilities, including specific reductions in energy consumption, water use, waste generation, and embodied carbon in materials, with annual public reporting and independent verification mechanisms.",Executive Order
"It is hereby ordered that federal procurement policies prioritize domestically sourced critical minerals, processed materials, and manufactured components to enhance supply chain security for clean energy, defense, and health technologies.",Executive Order
"Order by the President advancing equity and diversity in federal scientific research funding by requiring grantees to submit diversity, equity, and inclusion plans, conducting impact assessments on underrepresented groups, and setting participation goals for awards from major science agencies.",Executive Order
"Order mandating federal agencies to identify and address skills gaps in emerging technologies through workforce planning, targeted recruitment, reskilling programs, and partnerships with educational institutions in AI, quantum computing, cybersecurity, and biotechnology.",Executive Order
"Presidential directive strengthening federal coordination and rapid response capabilities to protect election infrastructure from cyber threats, including mandatory incident reporting, enhanced threat intelligence sharing, and resilience testing for state and local systems.",Executive Order
"By the authority vested in me, federal agencies shall incorporate behavioral science insights and evidence-based nudges into program design, communications, and service delivery to improve public outcomes in areas such as health, energy efficiency, and financial security.",Executive Order
"Order by the President creating an interagency council dedicated to ocean health protection, coordinating efforts to reduce marine plastic pollution, combat overfishing, mitigate ocean acidification, and restore critical habitats through integrated policy and funding.",Executive Order
Order requiring federal health care and public benefits programs to routinely screen beneficiaries for social determinants of health and facilitate connections to community resources as a standard component of service delivery.,Executive Order
"Cabinet order promoting responsible deployment of generative AI tools across federal agencies with clear guidelines for transparency, source attribution, accuracy verification, bias mitigation, and human review in public-facing communications and decision support.",Executive Order
"Proposals to launch a large-scale federal initiative focused on revitalizing rural economies through targeted investments in broadband expansion, small business incubators, value-added agricultural processing facilities, rural health clinics, and renewable energy projects, with the goal of creating sustainable job opportunities, reducing out-migration, and addressing long-standing infrastructure deficits in non-metropolitan counties across the country.",Bill
"Measures to comprehensively update federal wildfire policy by allocating increased funding for proactive hazardous fuels reduction on federal, state, and private lands, expanding the use of prescribed and cultural burning practices informed by tribal expertise, providing competitive grants to communities for home hardening and defensible space creation, and establishing multi-year recovery funds dedicated to ecosystem restoration, community rebuilding, and economic diversification in wildfire-impacted regions.",Bill
"Legislation directing the development and implementation of a National Electric Vehicle Charging Network Plan that requires fast-charging stations to be installed at intervals of no more than 50 miles along all interstate highways and major U.S. routes, offers substantial federal matching grants to states and private entities for deployment in rural, tribal, and low-income urban areas, mandates common technical standards for interoperability, and includes dedicated workforce training programs for installation, maintenance, and grid integration technicians.",Bill
"Initiative providing generous tax credits, matching grants, and administrative support to employers who voluntarily expand or establish paid family and medical leave policies, with benefits structured on a sliding scale based on company size and employee wages, guaranteed job protection during approved leave periods, and flexible options for small businesses to participate without undue financial burden, aimed at improving family economic stability and workforce attachment.",Bill
"Package of reforms prioritizing and incentivizing federal procurement from domestic manufacturers of strategically important technologies, including semiconductors, advanced batteries, rare earth processing equipment, and critical medical supplies, through expanded set-aside goals, domestic content thresholds, supply chain resilience requirements, and targeted incentives for onshoring production to strengthen national security and reduce exposure to global disruptions.",Bill
"Effort to dramatically increase federal funding for comprehensive school-based mental health services by awarding competitive grants to school districts for hiring additional counselors, psychologists, and social workers, deploying tele-mental health platforms for remote access, providing mandatory trauma-informed training to all school personnel, and forging partnerships with local community providers to deliver early intervention, crisis response, and ongoing support for students dealing with anxiety, depression, trauma, or behavioral challenges.",Bill
"Provisions requiring all publicly traded companies to include detailed climate-related financial risk disclosures in annual SEC filings, covering physical risks from extreme weather events, transition risks associated with policy shifts toward net-zero, and potential liability exposures, using standardized reporting templates aligned with international standards to enhance investor decision-making and promote market stability in a changing climate environment.",Bill
"Legislation establishing a National Bio-Manufacturing and Biodefense Initiative to build resilient domestic capacity for producing vaccines, therapeutics, biologics, and advanced biomaterials, through a combination of direct grants, low-interest loans, tax incentives for facility construction, workforce training partnerships, and strategic stockpiling mechanisms to safeguard public health during pandemics or other biological threats.",Bill
"An act to create baseline federal consumer data privacy rights, including the right to access, correct, delete, and port personal information held by companies, strict restrictions on targeted advertising using sensitive data categories, mandatory data minimization and purpose limitation principles, requirements for algorithmic impact assessments in high-risk systems, and robust enforcement mechanisms shared between the Federal Trade Commission and state attorneys general, with provisions for individual private rights of action.",Bill
"Measures to initiate a nationwide lead hazard abatement and prevention program targeting older residential housing, schools, child care centers, and public facilities, providing full funding for remediation, temporary relocation support during abatement work, mandatory testing and certification protocols, long-term blood lead level monitoring, and community education campaigns to eliminate childhood lead exposure and mitigate associated neurological and developmental risks.",Bill
"Initiative offering federal matching grants, technical assistance, and cybersecurity support to states implementing automatic voter registration systems integrated with driver licensing, public benefits applications, and other government interactions, designed to achieve near-universal registration among eligible citizens while incorporating strong security safeguards, accessibility accommodations for disabled voters, and regular independent audits to maintain election integrity.",Bill
"Reforms allocating significant federal resources to coastal resilience and adaptation infrastructure, including nature-based approaches such as restored wetlands, living shorelines, and mangrove buffers, combined with engineered solutions like elevated roadways and storm surge barriers in vulnerable communities, emphasizing equity in funding allocation, mandatory community engagement, and integration into all federal permitting and disaster recovery processes to address accelerating sea level rise and intensifying storms.",Bill
"Package extending core federal labor protections to gig economy and platform workers by including them under minimum wage, overtime, and collective bargaining provisions, establishing portable benefits frameworks for health coverage and retirement savings, prohibiting systematic worker misclassification, and creating a specialized enforcement division to investigate violations and provide remedies while preserving innovation in flexible work arrangements.",Bill
"Effort to substantially boost federal funding for arts, humanities, and cultural programs through expanded competitive grants to museums, theaters, community arts organizations, and heritage preservation projects, with targeted support for rural, tribal, and historically underserved urban areas to foster cultural diversity, stimulate local economies, and enhance educational opportunities through creative expression.",Bill
"Proposals to enhance federal scrutiny and consumer safeguards in cryptocurrency custody, exchange, and wallet services by mandating comprehensive insurance coverage, frequent third-party reserve audits, strict anti-fraud measures, clear asset segregation rules, and coordinated regulatory guidance between the Securities and Exchange Commission and Commodity Futures Trading Commission to balance innovation with investor protection and financial system stability.",Bill
"Legislation forming a dedicated interagency task force on youth nicotine and vaping prevention, responsible for coordinating nationwide public education campaigns, enforcing restrictions on flavored products and marketing near schools, funding evidence-based cessation programs, supporting longitudinal health impact research, and collaborating with states, schools, and health providers to reverse rising adolescent addiction trends.",Bill
"Measures to fast-track the siting, licensing, and deployment of advanced small modular nuclear reactors at federal facilities and in utility partnerships by providing streamlined regulatory pathways, loan guarantees, targeted R&D funding, workforce development programs, and community engagement requirements to deliver safe, reliable, low-carbon baseload power in support of national decarbonization objectives.",Bill
"Initiative mandating large digital platforms and social media companies to perform independent, annual third-party audits of their content recommendation, moderation, and ranking algorithms for evidence of bias, discrimination, disinformation amplification, or other societal harms, with mandatory public summaries of findings and enforceable corrective action timelines overseen by federal regulators.",Bill
"Reforms establishing federal matching grant incentives for states to broaden paid sick leave coverage to include part-time, temporary, seasonal, and gig workers, with minimum accrual rates, job protection during illness, administrative simplification for employers, and federal technical assistance to ensure widespread adoption and improved worker health security.",Bill
"Package streamlining federal permitting and environmental review processes for high-priority clean energy infrastructure, including transmission lines, large-scale solar and wind facilities, and battery storage projects, through one-stop federal coordination, concurrent NEPA reviews, statutory deadlines, and required community benefit agreements to reduce delays while preserving strong environmental safeguards.",Bill
"Order by the President instructing federal land management and environmental agencies to systematically integrate Indigenous traditional ecological knowledge, oral histories, and cultural practices into land use planning, restoration projects, climate adaptation strategies, and resource management decisions, supported by enhanced tribal consultation protocols and opportunities for co-management agreements on federal lands affecting tribal interests.",Executive Order
"White House order setting enforceable sustainability performance targets across all federal buildings and campuses, specifying percentage reductions in energy intensity, water consumption, waste diversion rates, and embodied carbon in construction materials, with mandatory annual progress reporting, third-party verification, and integration into agency budgeting processes.",Executive Order
"It is hereby ordered that federal acquisition and procurement policies shall give strong preference to domestically mined, processed, and manufactured critical minerals and materials essential for clean energy, defense, and advanced technology applications, including updated domestic content thresholds and incentives for supply chain reshoring.",Executive Order
"Order by the President advancing equity, diversity, and inclusion in federal scientific research funding programs by requiring applicants to submit detailed DEI plans, mandating impact assessments on underrepresented groups, establishing participation benchmarks, and prioritizing awards that demonstrate meaningful broadening of participation from historically excluded communities in STEM fields.",Executive Order
"Order requiring each federal agency to conduct comprehensive skills gap analyses in emerging technology areas such as artificial intelligence, quantum information science, cybersecurity, and biotechnology, followed by targeted recruitment, reskilling, and retention strategies to build a future-ready federal workforce capable of addressing national challenges.",Executive Order
"White House order bolstering federal defenses against cyber threats targeting election infrastructure by mandating enhanced threat intelligence sharing, mandatory incident reporting timelines, regular resilience testing for state and local systems, and coordinated rapid response protocols across intelligence, law enforcement, and election administration agencies.",Executive Order
"By the authority vested in me as President, federal agencies are directed to incorporate behavioral science research, evidence-based nudges, and human-centered design principles into the structure, communications, and delivery of public programs to improve participation rates, compliance, and overall effectiveness in areas such as public health, energy conservation, and financial decision-making.",Executive Order
"Presidential directive establishing an interagency Ocean Health and Resilience Council to coordinate federal efforts aimed at reducing marine plastic pollution, ending illegal fishing, mitigating ocean acidification impacts, restoring coral reefs and coastal habitats, and integrating ocean considerations into climate adaptation and blue economy strategies.",Executive Order
"Order mandating that federal health care delivery, public benefits, and social services programs routinely screen participants for social determinants of health such as housing instability, food insecurity, transportation barriers, and interpersonal violence, with required referrals to community resources and follow-up tracking as a core component of service delivery.",Executive Order
"Presidential directive promoting the responsible and transparent use of generative artificial intelligence tools throughout federal agencies by establishing clear guidelines for disclosure of AI-generated content, verification of factual accuracy, mitigation of biases and hallucinations, human-in-the-loop review requirements, and safeguards against misuse in public communications, decision support, and citizen-facing services.",Executive Order
"Proposals to fund a national apprenticeship expansion program specifically targeting underrepresented groups in high-growth industries such as clean energy, healthcare, information technology, and advanced manufacturing, with federal matching grants to employers for training costs, mentorship programs, and wage subsidies during the apprenticeship period to promote diversity and fill skills gaps in the workforce.",Bill
"Measures to create tax credits and low-interest loans for employers establishing or expanding on-site child care facilities for employees, including dependent care for elderly family members, with requirements for licensed staff, safety standards, and affordability sliding scales to support working families and increase labor force participation rates among parents and caregivers.",Bill
"Legislation establishing a federal paid sick leave insurance program that provides partial wage replacement for up to 7 days per year for personal illness, family care, or preventive health visits, funded through a shared payroll contribution, with job protection and anti-retaliation provisions to improve public health and worker security.",Bill
"Initiative to launch a federal grant program for community solar projects in low-income and environmental justice neighborhoods, providing funding for installation, ownership models, and bill credits to reduce energy costs, promote local job creation, and advance equitable access to renewable energy.",Bill
"Reforms to federal permitting processes for clean energy projects by implementing concurrent environmental reviews, statutory timelines for decisions, interagency coordination, and mandatory community benefit agreements to accelerate deployment while ensuring environmental protections and local input.",Bill
"Package supporting regenerative agriculture practices through USDA incentives, including cost-share payments for cover cropping, no-till farming, rotational grazing, and soil health monitoring, with technical assistance and research funding to improve farm resilience, carbon sequestration, and water quality.",Bill
"Effort to expand Medicare coverage to include comprehensive dental, vision, and hearing services for all beneficiaries, phased in over five years starting with low-income seniors, funded through savings from drug price negotiation and modest premium adjustments for high-income enrollees.",Bill
"Provisions requiring large corporations to publicly disclose all political expenditures, including contributions to PACs, super PACs, and dark money groups, with detailed reporting to shareholders and penalties for non-compliance to increase transparency in corporate influence on elections.",Bill
"An act to protect journalists and press freedom in the digital era by strengthening federal shields against compelled disclosure of sources, enhancing legal protections against SLAPP suits, and providing funding for digital security training and legal defense funds for reporters facing harassment or threats.",Bill
"Measures funding the restoration of coastal wetlands, mangroves, and barrier islands to serve as natural buffers against storm surges, erosion, and sea level rise, with grants to states and local governments for planning, implementation, and long-term monitoring in high-risk coastal communities.",Bill
"Legislation establishing a federal right to repair for consumer electronics, agricultural equipment, medical devices, and motor vehicles, requiring manufacturers to provide owners and independent repair shops with parts, tools, diagnostic software, and repair manuals at fair prices.",Bill
"Initiative to create tax credits for homeowners and landlords investing in energy-efficient home retrofits, including insulation upgrades, efficient windows, smart thermostats, and home electrification systems, with bonus credits for low-income households to reduce energy bills and emissions.",Bill
"Reforms strengthening federal antitrust enforcement against big tech companies by lowering merger review thresholds, creating presumptions against acquisitions that increase market concentration, and empowering state attorneys general to challenge anti-competitive practices.",Bill
"Proposals investing in the replacement of aging lead pipes in drinking water systems nationwide, prioritizing schools, child care centers, and low-income neighborhoods with full federal funding for remediation, testing, and community education to prevent lead exposure health risks.",Bill
"Package to support veterans with expanded healthcare benefits, including mental health counseling, substance use treatment, prosthetic services, and caregiver support programs, with streamlined claims processing and outreach to underserved veteran populations.",Bill
"Effort establishing federal standards for workplace heat safety protections, mandating employers to provide shaded breaks, hydration, heat illness training, and emergency response plans in outdoor and indoor high-heat environments, with OSHA enforcement and penalties.",Bill
"Measures expanding telehealth parity under Medicare and Medicaid to cover mental health services in rural and underserved areas, with reimbursement at in-person rates, broadband subsidies for patients, and provider training to improve access and outcomes.",Bill
"Legislation creating a national commission on gun violence prevention, composed of experts in public health, law enforcement, and community violence intervention, tasked with delivering evidence-based policy recommendations within 18 months on background checks, red flag laws, and safe storage.",Bill
"Initiative funding urban heat island mitigation through large-scale tree planting, green roof installations, and cool pavement technologies in vulnerable neighborhoods, with community involvement in planning to reduce heat-related illnesses and energy costs.",Bill
"Reforms to federal campaign finance laws by introducing public matching funds for small-dollar donations, lowering contribution limits for special interest groups, requiring real-time donor disclosure, and prohibiting foreign-influenced corporations from election spending.",Bill
"Provisions supporting tribal self-governance by increasing block grant funding for tribal courts, law enforcement, health clinics, and infrastructure projects, while strengthening federal-tribal consultation requirements on policies affecting sovereignty and lands.",Bill
"An act requiring new fossil fuel power plants to install carbon capture and storage technology, with federal tax credits, grants, and regulatory support to facilitate deployment and reduce emissions from the energy sector.",Bill
"Measures to reform the immigration court system by hiring additional judges, support staff, and interpreters to reduce case backlogs, providing legal representation for unaccompanied minors, and establishing alternatives to detention for low-risk individuals.",Bill
"Package expanding apprenticeship opportunities in high-growth sectors like clean energy and advanced manufacturing with federal funding for employer partnerships, curriculum development, and wage subsidies during training.",Bill
"Effort establishing a federal paid family leave insurance program funded by payroll contributions, providing up to 12 weeks of partial wage replacement for new child bonding, serious illness care, or personal medical leave, with job protection.",Bill
"Measures protecting endangered species and their habitats through updated federal recovery plans, increased enforcement against poaching and habitat destruction, and grants for conservation partnerships with states and private landowners.",Bill
"Initiative creating incentives for school districts to transition to electric school buses, with federal grants for vehicle purchases, charging infrastructure, and maintenance training to reduce emissions and improve air quality for students.",Bill
"Reforms modernizing federal regulatory review processes by incorporating sustainability metrics, equity impact assessments, and public participation requirements in all major rulemaking to ensure balanced, inclusive decision-making.",Bill
"Proposals funding enhanced pandemic preparedness with federal stockpiles of PPE, ventilators, and testing kits, expanded surveillance systems, and rapid response teams for emerging infectious diseases.",Bill
"Measures supporting community policing initiatives with federal grants for officer training, mental health co-responders, and community engagement programs to build trust and reduce crime in high-need areas.",Bill
"Presidential directive requiring federal agencies to achieve 100% clean electricity procurement for operations by 2030, with interim targets, reporting requirements, and preferences for on-site renewables and power purchase agreements.",Executive Order
"Cabinet order establishing equity screening criteria for new federal financial assistance programs, mandating applicants to demonstrate how activities will address disparities based on race, income, geography, and disability.",Executive Order
"It is hereby ordered that federal agencies prioritize nature-based solutions like green infrastructure and wetland restoration for flood risk reduction, water quality improvement, and habitat conservation in all relevant projects.",Executive Order
"Presidential directive advancing responsible AI use in government by requiring algorithmic impact assessments, human review in high-stakes decisions, and public transparency reports on AI systems deployed in public services.",Executive Order
"Order mandating every federal agency to develop and update annual climate adaptation plans identifying vulnerabilities, specific measures, timelines, and budgets aligned with national climate assessments.",Executive Order
"Presidential directive eliminating single-use plastics in federal operations by 2030, including bans on plastic water bottles and foodware, with requirements for sustainable alternatives in procurement contracts.",Executive Order
"By the authority vested in me, federal agencies must expand telehealth and remote service delivery models, with focus on rural and underserved areas, including broadband subsidies and digital literacy support for beneficiaries.",Executive Order
"Order by the President strengthening antimicrobial resistance efforts with updated national action plans, increased surveillance funding, and requirements for federal health facilities to report data and adopt stewardship practices.",Executive Order
"Order creating a Federal Task Force on Youth Mental Health to coordinate school-based services, digital platform safety regulations, and community prevention programs for adolescents.",Executive Order
"Order by the President integrating equity considerations into federal emergency management, including disproportionate impact assessments and targeted resources for overburdened communities during disasters.",Executive Order
"Cabinet order promoting circular economy principles in federal procurement by prioritizing durable, repairable, and recyclable products, reducing packaging waste, and requiring lifecycle assessments for major purchases.",Executive Order
GAO-31-115234: Challenges in Coordinating Federal Homelessness Assistance for Veterans and Families with Children – Recommendations for Improved Outcomes.,Report
year-end report to Congress: Implementation Status of the National Cybersecurity Strategy and Protection of Critical Infrastructure Sectors.,Report
"Congressional Budget Office – Baseline Projections of Federal Spending and Revenues: 2028 to 2038, Including Climate Policy Impacts.",Report
"Department of State – Annual Country Reports on Human Rights Practices for 2027, with Focus on Global Trends and U.S. Policy Responses.",Report
"National Academies of Sciences – document on the Future of Work: Technological Disruption, Automation, and Policy Options for an Inclusive Economy.",Report
Government Accountability Office report: Effectiveness of Federal Workforce Development Programs in Reducing Unemployment Among Underserved Populations Post-Pandemic.,Report
U.S. International Trade Commission – fiscal-year assessment of Foreign Trade Barriers and Digital Trade Restrictions Facing U.S. Exporters.,Report
Department of Energy – Quadrennial Technology Review 2027: Innovations for Deep Decarbonization and Energy System Resilience.,Report
"Office of Personnel Management – Federal Employee Viewpoint Survey Results 2027: Trends in Engagement, Inclusion, and Leadership Trust.",Report
"Congressional Research Service – U.S. Foreign Assistance: Overview, Effectiveness, and Reform Options in a Constrained Budget Environment.",Report
"Hearing before the Senate Banking, Housing, and Urban Affairs Committee: Regulation of Stablecoins and Implications for the U.S. Financial System.",Hearing
"House Committee on Science, Space, and Technology hearing: The National Strategy for Quantum Information Science – Implementation Progress and Funding Priorities.",Hearing
Joint hearing of the Senate and House Armed Services Committees: Emerging Biosecurity Risks from Synthetic Biology and Gene Editing Technologies.,Hearing
Subcommittee on Intelligence and Counterterrorism hearing: Countering State-Sponsored Cyber Espionage Targeting U.S. Critical Infrastructure.,Hearing
"Committee on Energy and Natural Resources hearing: Offshore Wind Development: Balancing Economic Growth, Grid Integration, and Marine Ecosystem Protection.",Hearing
Full Committee hearing: monitoring of the Consumer Financial Protection Bureau's Rulemaking and Enforcement Activities.,Hearing
Hearing entitled “Extreme Heat Events: Building Public Health and Infrastructure Resilience in Urban and Rural Communities.”,Hearing
Subcommittee on Emerging Threats and Capabilities hearing: Biotechnology and National Security – Dual-Use Risks and Governance Frameworks.,Hearing
"Joint Economic Committee hearing: Supply Chain Vulnerabilities, Inflation Pressures, and U.S. Manufacturing Resilience in 2027.",Hearing
Committee on Homeland Security hearing: Evaluating FEMA's Disaster Response and Recovery Efforts in Recent Extreme Weather Events.,Hearing
"Measures to fund national apprenticeship programs in green construction, solar installation, wind turbine maintenance, and energy efficiency auditing, with grants for underrepresented groups.",Bill
"Proposals expanding federal tax credits for electric heat pump adoption in residential and commercial buildings, with bonuses for low-income households.",Bill
"Legislation setting safe drinking water standards in schools and child care facilities, with testing and remediation funding.",Bill
"Initiative granting support for tribal-led renewable energy projects on reservation lands, with capacity building and technical assistance.",Bill
"Reforms streamlining student loan forgiveness for teachers, nurses, and public service workers, with simplified applications.",Bill
Package supporting community violence intervention with evidence-based street outreach and hospital-based programs.,Bill
Effort requiring federal contractors to adopt living wage standards and comprehensive benefits packages.,Bill
Measures investing in domestic manufacturing of medical countermeasures for pandemic preparedness and supply chain security.,Bill
Legislation protecting whistleblower rights in private sector critical infrastructure with stronger remedies and anonymity options.,Bill
Initiative funding restoration of degraded grasslands and prairies for carbon sequestration and biodiversity enhancement.,Bill
Reforms expanding Medicare coverage for telehealth services in chronic condition management permanently.,Bill
Proposals creating a federal right to broadband as essential service with affordability mandates for providers.,Bill
Package accelerating offshore wind development on Atlantic and Pacific coasts with streamlined leasing processes.,Bill
Effort establishing incentives for employer-sponsored child care and dependent care flexible spending accounts.,Bill
Measures strengthening enforcement against wage theft and worker misclassification in gig economy.,Bill
Legislation funding national network of electric vehicle fast-charging corridors in rural and underserved areas.,Bill
Initiative creating tax incentives for companies adopting circular economy practices in packaging and waste reduction.,Bill
Reforms updating the National Flood Insurance Program with risk-based pricing and mitigation discounts for policyholders.,Bill
Proposals supporting school nutrition programs with emphasis on local and sustainable food sourcing grants.,Bill
Package expanding federal funding for veteran suicide prevention and mental health peer support networks.,Bill
Effort establishing national guidelines for corporate board diversity and inclusion reporting requirements.,Bill
Measures investing in quantum computing research infrastructure at national labs and universities.,Bill
Legislation requiring large platforms to label AI-generated content and deepfakes in political advertisements.,Bill
Initiative funding community-based reentry programs for formerly incarcerated individuals with job training.,Bill
Reforms permitting critical mineral mining with strengthened environmental and community safeguards.,Bill
Proposals creating federal matching grants for state paid family leave programs with job protection.,Bill
Package supporting urban mobility with investments in public transit electrification and bike infrastructure.,Bill
Effort establishing federal standards for workplace air quality monitoring in high-risk industries.,Bill
Measures expanding arts therapy programs in veterans' hospitals and mental health facilities with grants.,Bill
Proposals funding national network of charging stations for heavy-duty trucks and freight vehicles.,Bill
Measures reforming patent system to reduce evergreening and promote generic drug competition.,Bill
Legislation establishing commission on the future of remote and hybrid work policies.,Bill
Initiative investing in hydrogen fuel cell R&D for heavy-duty transportation applications.,Bill
Package supporting maternal health in rural areas with telemedicine and doula services funding.,Bill
Effort requiring algorithmic discrimination audits in hiring and lending practices for large firms.,Bill
Measures expanding Pell Grants to cover short-term workforce training programs in high-demand fields.,Bill
Proposals creating incentives for sustainable packaging alternatives to single-use plastics.,Bill
Legislation funding coastal wetland restoration for storm protection and carbon storage.,Bill
Initiative establishing national task force on microplastics in drinking water sources.,Bill
Reforms to antitrust for digital platforms with mandatory bias audits.,Bill
Package expanding access to legal aid for low-income Americans with federal grants.,Bill
Effort funding high-speed rail systems in major U.S. corridors.,Bill
Measures supporting international trade agreements with strong labor standards.,Bill
Proposals addressing opioid epidemic with treatment and prevention funding.,Bill
Legislation protecting national parks and public lands from overdevelopment.,Bill
Initiative improving aviation safety with air traffic control upgrades.,Bill
Reforms authorizing funding for pandemic preparedness stockpiles.,Bill
Package reforming Social Security for long-term solvency.,Bill
Effort establishing federal database of police misconduct records.,Bill
Measures amending immigration law to reduce visa backlogs.,Bill
A proposed law to to establish a comprehensive federal database for tracking and reporting incidents of police misconduct and use of force nationwide.,Bill
Legislation to expand Medicaid coverage to include dental vision and hearing services for all eligible low-income adults and families.,Bill
An act to to require publicly traded corporations to fully disclose all political spending and contributions to shareholders and regulators.,Bill
To create a national apprenticeship and workforce training program for skilled trades vocational careers and emerging technology fields.,Bill
An act to to prohibit foreign governments and foreign-controlled entities from purchasing United States agricultural farmland and rural properties.,Bill
Legislation to provide emergency housing assistance grants and wraparound support services for veterans who are experiencing homelessness.,Bill
Legislation to to establish a comprehensive regulatory framework governing the use of facial recognition technology by federal law enforcement agencies.,Bill
To establish a Civilian Climate Conservation Corps for environmental restoration reforestation and clean energy deployment on federal lands.,Bill
Draft law to to significantly strengthen civil and criminal penalties for employers engaged in wage theft and illegal withholding of worker compensation.,Bill
Legislation to permanently expand Supplemental Nutrition Assistance Program benefits for households with children under the age of six.,Bill
An act to to create a federal student debt refinancing program allowing borrowers to refinance existing loans at current low interest rates.,Bill
To authorize the construction and financing of new affordable and workforce housing units in high-cost metropolitan and urban areas.,Bill
Draft law to to mandate gender and racial pay equity reporting for all private sector companies with more than one hundred employees.,Bill
Legislation to provide comprehensive federal protections for LGBTQ individuals against discrimination in employment housing education and public services.,Bill
An act to to significantly increase federal research funding for Alzheimer's disease dementia and age-related neurological disorder treatments.,Bill
To establish a national public-private network of electric vehicle charging stations along all major interstate and federal highway corridors.,Bill
Draft law to to fundamentally reform the federal prison system with a focus on rehabilitation education and mental health treatment over punishment.,Bill
Legislation to create a universal basic income pilot program in selected communities to study the economic and social effects of direct cash transfers.,Bill
A proposed law to to close loopholes in federal background check requirements for all private firearm sales at gun shows and online marketplaces.,Bill
To establish a federal commission to study the history and ongoing economic impacts of slavery and develop recommendations for reparations.,Bill
Draft law to to reduce carbon emissions from the federal transportation sector through electrification of vehicle fleets and investment in transit.,Bill
Legislation to significantly increase federal funding for Head Start and Early Head Start early childhood education and care programs nationwide.,Bill
A proposed law to to protect migrant farmworkers and agricultural laborers from pesticide exposure excessive heat illness and other occupational hazards.,Bill
To authorize and fund the Department of Energy to accelerate research and commercialization of advanced generation four nuclear reactor designs.,Bill
A proposed law to to require all banks investment firms and publicly traded companies to disclose material financial risks related to climate change.,Bill
Legislation to comprehensively overhaul and modernize the nation's aging air traffic control system with new digital radar and communication technology.,Bill
Draft law to to establish a National Center for Advanced Manufacturing to support research development and workforce training in domestic industry.,Bill
To provide significant federal tax incentives and hiring credits for employers that hire and retain formerly incarcerated individuals.,Bill
A proposed law to to fundamentally reform the federal student loan system by creating income-driven repayment plans tied to post-graduation earnings.,Bill
Legislation to strengthen federal protections for Native American sacred sites cultural resources and burial grounds on federal and state lands.,Bill
Legislation to to create a federal apprenticeship investment tax credit for small businesses that provide structured training to new workers.,Bill
To expand access to a full range of preventive reproductive health services and contraceptive coverage under the Affordable Care Act.,Bill
A proposed law to to permanently cap insulin prices at thirty-five dollars per month for all Americans insured through private or public health plans.,Bill
Legislation to establish a federal mandate requiring all employers to provide a minimum of seven days of paid sick leave per year.,Bill
An act to to comprehensively modernize the Veterans Affairs healthcare delivery system through infrastructure upgrades and expanded telehealth services.,Bill
To fund a major multi-decade federal research initiative into the long-term health and environmental effects of PFAS chemical contamination.,Bill
Draft law to to require all internet service providers to offer affordable low-cost broadband service plans for qualifying low-income households.,Bill
Legislation to protect employees from termination demotion and other workplace retaliation for participating in union organizing activities.,Bill
Legislation to to create a comprehensive national digital literacy and computer science education program for students in K-12 public schools.,Bill
To establish a competitive federal grant program to support the construction and renovation of rural hospital infrastructure across underserved regions.,Bill
Draft law to to significantly strengthen federal penalties for corporations and retailers found to be price gouging during declared national emergencies.,Bill
Legislation to prohibit members of Congress their spouses and immediate family members from trading individual stocks while in office.,Bill
An act to to establish a federal bill of rights and minimum labor standards for workers in the gig and platform economy.,Bill
To authorize emergency federal funding for large-scale wildfire prevention measures fuel reduction projects and aerial suppression resources.,Bill
An act to to require all federal construction contracts to mandate the exclusive use of domestically produced steel aluminum and construction materials.,Bill
Legislation to permanently expand and strengthen the Child Tax Credit to provide additional support for working-class and middle-income families.,Bill
An act to to establish a National Semiconductor Research Development and Manufacturing Center to reduce dependence on foreign chip supply chains.,Bill
To create a federally funded mentorship and after-school support program designed to serve at-risk youth in high-poverty communities.,Bill
A proposed law to to require pharmaceutical companies to publicly disclose the true cost basis and justification for all prescription drug price increases.,Bill
Legislation to substantially improve the availability and accessibility of mental health crisis intervention services in rural and underserved communities.,Bill
A proposed law to to establish mandatory minimum cybersecurity standards and compliance requirements for all contractors working with federal agencies.,Bill
